"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @YoungCrypto69: Such a ready for the future with #ElonMusk and #dogecoin <U+0001F30C>

#DogeFather $Doge #dogearmy #TwitterCEO https://t.co/ht0296L…",FALSE,0,NA,2022-04-28 17:33:21,FALSE,NA,"1519731507371200512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smartsandal",33,TRUE,FALSE,NA,NA
"RT @Fatima62967585: <U+0001F525>#Congratulations<U+0001F525> to Elon Musk for buying Twitter.<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> #Elon_Musk #ElonMuskBuyTwitter #musktwitter #TwitterCEO #Twit…",FALSE,0,NA,2022-04-28 17:32:57,FALSE,NA,"1519731405780971520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fatima62967585",3,TRUE,FALSE,NA,NA
"RT @ManAnd_Machine: And @elonmusk goes to the moon with his $44B offer to buy @Twitter!?

#TwitterCEO #ElonMusk @Tesla #Twitter #Shadowban…",FALSE,0,NA,2022-04-28 17:32:30,FALSE,NA,"1519731294816591877",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ManAnd_Machine",1,TRUE,FALSE,NA,NA
"When you thought you had a good deal #ElonMusk #TwitterCEO https://t.co/CVAe6NenrE",FALSE,1,NA,2022-04-28 17:32:06,FALSE,NA,"1519731192958173185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","comp_technician",0,FALSE,FALSE,NA,NA
"RT @sharjeel313: Oh my gosh!.... Elon Musk just changed the color of the like button on twitter from<U+0001F499> blue to red <U+2665><U+FE0F> 

#dogecoin  #bitcoins…",FALSE,0,NA,2022-04-28 17:31:20,FALSE,NA,"1519731001550942208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KhaqanBhatti2",26,TRUE,FALSE,NA,NA
"<U+0001F525>#Congratulations<U+0001F525> to Elon Musk for buying Twitter.<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> #Elon_Musk #ElonMuskBuyTwitter #musktwitter #TwitterCEO… https://t.co/39CwHRY1rV",FALSE,44,NA,2022-04-28 17:30:52,TRUE,NA,"1519730882168246272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fatima62967585",3,FALSE,FALSE,NA,NA
"<U+0645><U+0648><U+062C><U+0648><U+062F><U+06C1> <U+062D><U+0627><U+0644><U+062A> <U+0645><U+06CC><U+06BA> <U+0679><U+0648><U+0626><U+0679><U+0631> <U+06A9><U+0645><U+067E><U+0646><U+06CC> <U+06A9><U+06D2> <U+0637><U+0648><U+0631> <U+067E><U+0631> <U+0627><U+06AF><U+0631> <U+06A9><U+0645><U+067E><U+0646><U+06CC> <U+0627><U+067E><U+0646><U+06CC> <U+062D><U+06A9><U+0645><U+062A> <U+0639><U+0645><U+0644><U+06CC> <U+0627><U+0648><U+0631> <U+0645><U+0639><U+0627><U+0634><U+06CC> <U+0633><U+0631><U+06AF><U+0631><U+0645><U+06CC><U+0648><U+06BA> <U+0633><U+06D2> <U+0645><U+062A><U+0639><U+0644><U+0642> <U+062A><U+0641><U+0635><U+06CC><U+0644><U+0627><U+062A> <U+062C><U+0627><U+0631><U+06CC> <U+0646><U+06C1><U+06CC><U+06BA> <U+06A9><U+0631><U+062A><U+06CC> <U+06C1>… https://t.co/hFXbeICQX0",FALSE,10,NA,2022-04-28 17:30:00,TRUE,NA,"1519730667231219712",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","voaurdu",2,FALSE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:29:32,FALSE,NA,"1519730547559256064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cryptoi74999799",244,TRUE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:29:14,FALSE,NA,"1519730472070402053",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dina137102",244,TRUE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:28:26,FALSE,NA,"1519730272262000640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Philoma8211",244,TRUE,FALSE,NA,NA
